#          omega,            hol_g,      FCI (extra),               HF,         CCS-1-S1,         CCS-2-S2,         CCS-4-S4,           LF-HF,          LF-MP2,       NN-VMC
      1.85500000,       0.50000000,      -2.07708924,      -2.03369262,      -2.07636059,      -2.07708904,      -2.07708924,     -2.07531082,     -2.07711448,  -2.07708311   
      2.05000000,       0.50000000,      -2.07191996,      -2.03048775,      -2.07130539,      -2.07191982,      -2.07191996,     -2.07036788,     -2.07194018,  -2.07190299   
      2.24500000,       0.50000000,      -2.06748685,      -2.02783961,      -2.06696284,      -2.06748675,      -2.06748685,     -2.06612229,     -2.06750311,  -2.06747150   
      2.44000000,       0.50000000,      -2.06363138,      -2.02561473,      -2.06318040,      -2.06363130,      -2.06363138,     -2.06242400,     -2.06364451,  -2.06368256   
      2.63500000,       0.50000000,      -2.06023934,      -2.02371915,      -2.05984802,      -2.06023928,      -2.06023934,     -2.05916499,     -2.06025000,  -2.06030726   
      2.83000000,       0.50000000,      -2.05722602,      -2.02208480,      -2.05688401,      -2.05722597,      -2.05722602,     -2.05626522,     -2.05723472,  -2.05727744   
      3.02500000,       0.50000000,      -2.05452704,      -2.02066115,      -2.05422621,      -2.05452701,      -2.05452704,     -2.05366389,     -2.05453419,  -2.05457711   
      3.22000000,       0.50000000,      -2.05209247,      -2.01940993,      -2.05182633,      -2.05209244,      -2.05209247,     -2.05131384,     -2.05209838,  -2.05219650   
      3.41500000,       0.50000000,      -2.04988287,      -2.01830161,      -2.04964616,      -2.04988285,      -2.04988287,     -2.04917783,     -2.04988777,  -2.04986143   
      3.61000000,       0.50000000,      -2.04786658,      -2.01731302,      -2.04765506,      -2.04786656,      -2.04786658,     -2.04722596,     -2.04787067,  -2.04764104   
      3.80500000,       0.50000000,      -2.04601788,      -2.01642575,      -2.04582804,      -2.04601787,      -2.04601788,     -2.04543393,     -2.04602131,  -2.04596066   
      4.00000000,       0.50000000,      -2.04431560,      -2.01562500,      -2.04414452,      -2.04431559,      -2.04431560,     -2.04378172,     -2.04431849,  -2.04448366   
      0.10000000,       0.75000000,      -5.80664910,      -5.80492001,      -5.80659704,      -5.80664873,      -5.80664910,     -5.80660167,     -5.80664701,  -5.80618420   
      0.29500000,       0.75000000,      -2.68746526,      -2.50007324,      -2.62353370,      -2.68704293,      -2.68751204,     -2.62370367,     -2.66478090,  -2.68790436   
      0.49000000,       0.75000000,      -2.45074482,      -2.28697039,      -2.42442286,      -2.45067007,      -2.45074545,     -2.42409759,     -2.44829773,  -2.45111275   
      0.68500000,       0.75000000,      -2.35077704,      -2.20528706,      -2.33444402,      -2.35074436,      -2.35077714,     -2.33384359,     -2.35050721,  -2.35073233   
      0.88000000,       0.75000000,      -2.29308774,      -2.15979972,      -2.28160949,      -2.29307012,      -2.29308777,     -2.28086389,     -2.29325472,  -2.29305959   
      1.07500000,       0.75000000,      -2.25466496,      -2.13081212,      -2.24606715,      -2.25465446,      -2.25466497,     -2.24525445,     -2.25490779,  -2.25459051   
      1.27000000,       0.75000000,      -2.22679735,      -2.11072801,      -2.22009554,      -2.22679069,      -2.22679735,     -2.21926291,     -2.22702569,  -2.22677135   
      1.46500000,       0.75000000,      -2.20541438,      -2.09598758,      -2.20004331,      -2.20540997,      -2.20541438,     -2.19921912,     -2.20560776,  -2.20539141   
      1.66000000,       0.75000000,      -2.18834204,      -2.08471307,      -2.18394696,      -2.18833902,      -2.18834204,     -2.18314788,     -2.18850004,  -2.18815494   
      1.85500000,       0.75000000,      -2.17430495,      -2.07580830,      -2.17064912,      -2.17430282,      -2.17430495,     -2.16988453,     -2.17443243,  -2.17414570   
      2.05000000,       0.75000000,      -2.16250070,      -2.06859742,      -2.15941890,      -2.16249916,      -2.16250070,     -2.15869358,     -2.16260322,  -2.16238761   
      2.24500000,       0.75000000,      -2.15239635,      -2.06263913,      -2.14976924,      -2.15239522,      -2.15239635,     -2.14908507,     -2.15247896,  -2.15230703   
      2.44000000,       0.75000000,      -2.14362230,      -2.05763316,      -2.14136129,      -2.14362145,      -2.14362230,     -2.14071834,     -2.14368902,  -2.14361453   
      2.63500000,       0.75000000,      -2.13591303,      -2.05336810,      -2.13395091,      -2.13591239,      -2.13591303,     -2.13334814,     -2.13596722,  -2.13588333   
      2.83000000,       0.75000000,      -2.12907214,      -2.04969080,      -2.12735693,      -2.12907165,      -2.12907214,     -2.12679266,     -2.12911636,  -2.12895989   
      3.02500000,       0.75000000,      -2.12295075,      -2.04648688,      -2.12144163,      -2.12295037,      -2.12295075,     -2.12091383,     -2.12298708,  -2.12293100   
      3.22000000,       0.75000000,      -2.11743360,      -2.04367187,      -2.11609805,      -2.11743330,      -2.11743360,     -2.11560453,     -2.11746359,  -2.11749482   
      3.41500000,       0.75000000,      -2.11242981,      -2.04117828,      -2.11124166,      -2.11242957,      -2.11242981,     -2.11078016,     -2.11245470,  -2.11246300   
      3.61000000,       0.75000000,      -2.10786665,      -2.03895405,      -2.10680456,      -2.10786646,      -2.10786665,     -2.10637289,     -2.10788741,  -2.10798407   
      3.80500000,       0.75000000,      -2.10368505,      -2.03695777,      -2.10273149,      -2.10368489,      -2.10368505,     -2.10232752,     -2.10370245,  -2.10391307   
      4.00000000,       0.75000000,      -2.09983646,      -2.03515612,      -2.09897690,      -2.09983633,      -2.09983646,     -2.09859863,     -2.09985112,  -2.09986496   
      0.10000000,       1.00000000,     -10.10089337,     -10.10037691,     -10.10088638,     -10.10089334,     -10.10089337,    -10.10088718,    -10.10089322,  -10.10094929  
      0.29500000,       1.00000000,      -3.71321900,      -3.69495007,      -3.71009234,      -3.71303911,      -3.71321595,     -3.71090431,     -3.71243348,  -3.71130466   
      0.49000000,       1.00000000,      -2.84967240,      -2.58411252,      -2.67883149,      -2.84929944,      -2.84977954,     -2.75959968,     -2.82597676,  -2.85071135   
